Severity,Checker,File,Line
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/controller/StartLesson.java","19"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/DatabaseConfiguration.java","22"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/HammerHead.java","15"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/i18n/Language.java","17"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/LessonDataSource.java","22"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/Assignment.java","49"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/CourseConfiguration.java","34"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/CourseConfiguration.java","35"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/Lesson.java","13"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/LessonConnectionInvocationHandler.java","23"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/LessonMenuItem.java","58"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/report/ReportCardController.java","26"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/report/ReportCardController.java","27"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/report/ReportCardController.java","57"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/LabelDebugService.java","21"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/LabelService.java","21"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/LessonInfoService.java","17"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/LessonMenuService.java","26"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/LessonProgressService.java","27"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/RestartLessonService.java","26"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/SessionService.java","16"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/session/Course.java","19"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/session/Course.java","62"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/users/RegistrationController.java","28"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/users/Scoreboard.java","25"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/users/UserService.java","22"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/WebSecurityConfig.java","24"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/authbypass/VerifyAccount.java","38"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/challenges/challenge5/Assignment5.java","26"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/challenges/challenge7/Assignment7.java","60"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/chromedevtools/NetworkDummy.java","30"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/csrf/CSRFConfirmFlag1.java","26"
