Ping.java	32	FB.PATH_TRAVERSAL_IN	Minor
Ping.java	34	FB.DM_DEFAULT_ENCODING	Minor
ProfileUploadBase.java	103	FB.PATH_TRAVERSAL_IN	Minor
ProfileUploadBase.java	112	UNREACHABLE_CODE	Normal
ProfileUploadBase.java	115	UNREACHABLE_CODE	Normal
ProfileUploadBase.java	126	FB.UI_INHERITANCE_UNSAFE_GETRESOURCE	Major
ProfileUploadBase.java	126	HANDLE_LEAK.EXCEPTION	Normal
ProfileUploadBase.java	51	FB.PATH_TRAVERSAL_IN	Minor
ProfileUploadBase.java	52	FB.RV_RETURN_VALUE_IGNORED_BAD_PRACTICE	Major
ProfileUploadBase.java	70	FB.PATH_TRAVERSAL_IN	Minor
ProfileUploadBase.java	82	DEREF_OF_NULL.RET.LIB	Major
ProfileUploadBase.java	86	DEREF_OF_NULL.RET.LIB	Major
ProfileUploadRetrieval.java	101	FB.PATH_TRAVERSAL_IN	Minor
ProfileUploadRetrieval.java	117	DEREF_OF_NULL.RET.LIB	Major
ProfileUploadRetrieval.java	118	FB.DM_DEFAULT_ENCODING	Minor
ProfileUploadRetrieval.java	54	FB.PATH_TRAVERSAL_IN	Minor
ProfileUploadRetrieval.java	55	FB.RV_RETURN_VALUE_IGNORED_BAD_PRACTICE	Major
ProfileUploadRetrieval.java	64	FB.PATH_TRAVERSAL_IN	Minor
ProfileUploadRetrieval.java	69	DEREF_OF_NULL.RET.LIB	Major
ProfileUploadRetrieval.java	72	DEREF_OF_NULL.RET.LIB	Major
ProfileZipSlip.java	58	FB.NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE	Minor
ProfileZipSlip.java	67	FB.PATH_TRAVERSAL_IN	Minor
ProfileZipSlip.java	75	FB.OS_OPEN_STREAM	Minor
ProfileZipSlip.java	75	HANDLE_LEAK	Major
ProfileZipSlip.java	79	FB.PATH_TRAVERSAL_IN	Minor
RegistrationController.java	28	FB.EI_EXPOSE_REP2	Minor
ReportCardController.java	26	FB.EI_EXPOSE_REP2	Minor
ReportCardController.java	27	FB.EI_EXPOSE_REP2	Minor
ReportCardController.java	57	FB.EI_EXPOSE_REP	Minor
ReportCardController.java	57	FB.EI_EXPOSE_REP2	Minor
Requests.java	29	FB.EI_EXPOSE_REP2	Minor
Requests.java	63	DEREF_OF_NULL.RET.LIB	Major
Requests.java	63	SIMILAR_BRANCHES	Major
Requests.java	65	DEREF_OF_NULL.RET.LIB	Major
ResetLinkAssignment.java	77	PROC_USE.VULNERABLE	Minor
ResetLinkAssignmentForgotPassword.java	46	FB.EI_EXPOSE_REP2	Minor
RestartLessonService.java	26	FB.EI_EXPOSE_REP2	Minor
Salaries.java	42	FB.PATH_TRAVERSAL_IN	Minor
Salaries.java	44	FB.RV_RETURN_VALUE_IGNORED_BAD_PRACTICE	Major
Salaries.java	59	FB.PATH_TRAVERSAL_IN	Minor
Salaries.java	64	FB.UC_USELESS_OBJECT	Minor
SampleAttack.java	32	FB.EI_EXPOSE_REP2	Minor
SampleAttack.java	71	FB.URF_UNREAD_FIELD	Major
Scoreboard.java	25	FB.EI_EXPOSE_REP2	Minor
Servers.java	44	FB.EI_EXPOSE_REP2	Minor
Servers.java	54	TAINTED_PTR	Critical
